code;label
toshiba;Toshiba
asus;ASUS
lenovo;Lenovo
samsung;Samsung
sony;Sony
acer;Acer
philips;Philips
iiyama;iiyama
aoc;AOC
nec;NEC
hp;HP
dell;DELL
lg;LG
viewsonic;Viewsonic
3m;3M
fujitsu;Fujitsu
v7;V7
salora;Salora
lenco;Lenco
medion;Medion
canon;Canon
fujifilm;Fujifilm
ricoh;Ricoh
kodak;Kodak
woxter;Woxter
cisco;Cisco
logitech;Logitech
speed_link;Speed-Link
trust;Trust
conceptronic;Conceptronic
d_link;D-Link
icidu;ICIDU
microsoft;Microsoft
sweex;Sweex
a4tech;A4Tech
hiper;Hiper
levelone;LevelOne
eminent;Eminent
targus;Targus
ngs;NGS
devolo;Devolo
ewent;Ewent
macally;Macally
g_cube;G-Cube
belkin;Belkin
hamlet;Hamlet
sitecom;Sitecom
ovislink;OvisLink
approx;Approx
thrustmaster;Thrustmaster
ricatech;Ricatech
yarvik;Yarvik
3go;3GO
spcinternet;SPCinternet
emtec;Emtec
takems;takeMS
magnavox;Magnavox
adapt;Adapt
tacens;Tacens
sandberg;Sandberg
ion;ION
dicota;Dicota
vogel_s;Vogel's
xtrememac;XtremeMac
gear4;GEAR4
value;Value
ion_audio;"ION Audio"
tdk;TDK
gigabyte;Gigabyte
techly;Techly
spire;Spire
teufel;Teufel
verbatim;Verbatim
noxon;NOXON
lacie;LaCie
razer;Razer
lexmark;Lexmark
brother;Brother
xerox;Xerox
oki;OKI
kyocera;Kyocera
ibm;IBM
avision;Avision
dymo;DYMO
kensington;Kensington
